Sentence,Emotion,Cleaned_Sentence
"hồi học lớp 5 bảo bố đi mua sgk cho , xong bố đi mua nguyên bộ lớp 4 đầy đủ từ sgk đến vở bài tập 😂",Sadness,hồi học lớp 5 bảo bố đi mua sgk cho xong bố đi mua nguyên bộ lớp 4 đầy_đủ từ sgk đến vở bài_tập icon_vui
nay buồn :(((,Sadness,nay buồn icon_buon
"cv không áp lực , môi trường xung quanh mới dễ tạo áp lực",Fear,cv không áp_lực môi_trường xung_quanh mới dễ tạo áp_lực
ai có link nhạc mấy bài trên không ạ hay vãi ra,Enjoyment,ai có link nhạc mấy bài trên không ạ hay vãi ra
đây người ta gọi là . khi đại thánh nhập hoặc là múa lân đầu năm,Other,đây người_ta gọi là khi đại_thánh_nhập hoặc là múa_lân đầu năm
phải bồi thường thiệt hại bị trầy xước thân tàu . tiền sơn lại mấy toa tàu chắc cũng bộn .,Other,phải bồi_thường thiệt_hại bị trầy_xước thân tàu tiền sơn lại mấy toa tàu chắc cũng bộn
làm công nhân đã bị vắt kiệt sức khỏe cho đến khi bị thải,Sadness,làm công_nhân đã bị vắt kiệt_sức_khỏe cho đến khi bị thải
khi nào phường có chế độ phát chồng khi mang thân đến đăng kí kết hôn tự nguyện 😊,Enjoyment,khi nào phường có chế_độ phát chồng khi mang thân đến đăng_kí_kết_hôn tự_nguyện icon_vui
đéo được tích sự gì 😂,Anger,đéo được tích_sự gì icon_vui
haizzz ... thế là chưa có kq gì tốt đẹp cả ..,Sadness,haiz thế_là chưa có kq gì tốt_đẹp cả
bản thân cố gắng cũng chẳng dễ dàng gì :((,Sadness,bản_thân cố_gắng cũng chẳng dễ_dàng gì icon_buon
"nói chung là 1 lũ lừa gạt thôi , việt nam mình là vậy đó",Disgust,nói_chung là 1 lũ lừa_gạt thôi việt nam mình là vậy đó
thế em ăn cơm chưa ?,Other,thế em ăn cơm chưa
"thu trăm tỷ phạt 5tr , lại qua tỉnh khác hành nghề ha ha",Other,thu trăm tỷ phạt 5tr lại qua tỉnh khác hành_nghề ha_ha
chủ yếu là bọn trẻ đú với bọn dân trí thấp mà thích thể hiện bác nhỉ,Disgust,chủ_yếu là bọn trẻ đú với bọn dân_trí thấp mà thích thể_hiện bác nhỉ
mày coi chừng có ngày tao dã dô mặt mày như dzầy,Anger,mày coi_chừng có ngày tao dã dô mặt_mày như dzầy
canh thời gian đăng đúng vãi !,Surprise,canh thời_gian đăng đúng vãi
quan trọng mấy thằng đó có chọn mj không . ngồi đó mà ảo tưởng,Disgust,quan_trọng mấy thằng đó có chọn mj không ngồi đó mà ảo_tưởng
học xong 12 như hết thanh xuân có lẽ phải bỏ lỡ 1 người,Sadness,học xong 12 như hết thanh_xuân có_lẽ phải bỏ lỡ 1 người
mình thi xong còn không khóc được 😢,Sadness,mình thi xong còn không khóc được icon_buon
"mỗi ngày mình ôm nhau 1 cái như này hén , hí hí",Enjoyment,mỗi ngày mình ôm nhau 1 cái như này hén hí hí
"per trừ điểm , trừ điểm",Sadness,per trừ điểm trừ điểm
"5 triệu , phạt một con mụ lừa đảo , phá hủy niềm tin phật giáo , làm ô uế đời sống tâm linh ... thật rẻ rúng làm sao !",Disgust,5 triệu phạt một con mụ lừa_đảo phá_hủy niềm tin phật_giáo làm ô_uế đời_sống tâm_linh thật rẻ_rúng làm_sao
cả tuần không được nói chuyện,Sadness,cả tuần không được nói_chuyện
per mày cẩn thận tao giết,Anger,per mày cẩn_thận tao giết
cạn lời với bọn súc vật này làm xấu mặt người bắc giang 😑😑😑,Disgust,cạn_lời với bọn súc_vật này làm xấu mặt người bắc giang
bài này tao có 2 cảm xúc . đầu tiên về quán trà . đến cảm xúc quen lại c thy xong bị mẹ cấm :)),Other,bài này tao có 2 cảm_xúc đầu_tiên về quán trà đến cảm_xúc quen lại c thy xong bị mẹ cấm icon_vui
đẹp trai quá,Enjoyment,đẹp_trai quá
đóng cái lồn tao nè chứ đóng,Anger,đóng cái lồn tao nè chứ đóng
"khổ thân người dân , trước dự án cao su là dự án cà phê , làm thêm dự án nữa coi như một đời bỏ phí",Sadness,khổ_thân người dân trước dự_án cao_su là dự_án cà_phê làm thêm dự_án nữa coi như một đời bỏ phí
"hồi nhỏ bà mày có cho một con ngỗng mình tự tay nuôi nó . từ ngày đó nó đeo mày như chó mèo vậy . nhưng khi lớn nó lại mắc bệnh mà mất . giờ cũng hơn 4 , 5 năm rồi những nhớ nó lắm 😓",Sadness,hồi nhỏ bà mày có cho một con ngỗng mình tự tay nuôi nó từ ngày đó nó đeo mày như chó mèo vậy nhưng khi lớn nó lại mắc bệnh mà mất giờ cũng hơn 4 5 năm rồi những nhớ nó lắm
hồi nhỏ đọc tao đã nghi nghi rồi =)))))))),Enjoyment,hồi nhỏ đọc tao đã nghi nghi rồi
ngẫm nghĩ cha của thánh gióng với sọ dừa ăn mặn vãi .,Disgust,ngẫm_nghĩ cha của thánh gióng với sọ_dừa ăn mặn vãi
"con cần bảo vệ thì giết sạch còn con cần tiêu diệt thì lại đem nuôi , cuộc sống lạ lùng vãi 😕",Disgust,con cần bảo_vệ thì giết sạch còn con cần tiêu_diệt thì lại đem nuôi cuộc_sống lạ_lùng vãi
dù sao thì con trai vẫn nên là người mở lời trước à 🤣🤣🤣🤣🤣🤣,Enjoyment,dù_sao thì con_trai vẫn nên là người mở lời trước à icon_vui icon_vui icon_vui icon_vui icon_vui icon_vui
ad cho hỏi nghệ an lúc nào mưa vậy ah 🌧🌧.. ốm cũng cam lòng chứ vã lắm rồi 🥵🥵,Sadness,ad cho hỏi nghệ_an lúc_nào mưa_vậy à ốm cũng cam lòng chứ vã lắm rồi
giận ngược lại rồi giận luôn chứ có huề đéo đâu :(((,Sadness,giận ngược_lại rồi giận luôn chứ có huề đéo đâu icon_buon
per tao được làm fan cứng giống mày rồi 🤣,Enjoyment,per tao được làm fan cứng giống mày rồi icon_vui
xem cái này mới biết vốn tiếng anh của mình cũng khá !,Surprise,xem cái này mới biết vốn tiếng anh của mình cũng khá
thằng lol này tao đéo biết nó sống tốt với mọi người xung quanh như thế nào nào nhưng nó đã ngu còn tỏ ra ngu hẳn nữa,Disgust,thằng lol này tao đéo biết nó sống tốt với mọi người xung_quanh như thế_nào nào nhưng nó đã ngu còn tỏ ra ngu hẳn nữa
ôi bé xinh gái vãi :)),Enjoyment,ôi bé xinh gái vãi icon_vui
cười sái mẹ quai hàm,Enjoyment,cười sái mẹ quai_hàm
rồi khi mày có 1 ít tiền :)) mày mới phát hiện ra còn đéo cả có người đi cùng cơ,Sadness,rồi khi mày có 1 ít tiền icon_vui mày mới phát_hiện ra còn đéo cả có người đi cùng cơ
tự dưng cay mẹ mắt,Sadness,tự_dưng cay mẹ mắt
tao sợ thật sự :(((,Fear,tao sợ thật_sự icon_buon
per thịt nướng lò xô ne ăn z mà không chết 😎😎😎😎,Enjoyment,per thịt nướng lò xô ne ăn gì mà không chết icon_vui icon_vui icon_vui icon_vui
tốt quá,Enjoyment,tốt quá
ông nào viết vui tính thế =)) cưng thật,Enjoyment,ông nào viết vui_tính thế cưng thật
không hiểu sao nhìu người lại thả haha nhỉ ??,Surprise,không hiểu sao nhiều người lại thả haha nhỉ
diễn viên già vãi -.-,Disgust,diễn_viên già vãi
ghét nhất mấy loại bép xép thế thôi . nhanh gọn lẹ 😂😂😂,Enjoyment,ghét nhất mấy loại bép_xép thế thôi nhanh gọn lẹ icon_vui icon_vui icon_vui
cưng quá đi,Enjoyment,cưng quá đi
nhìn mẫu này lạ mắt mà đẹp quá,Surprise,nhìn mẫu này lạ_mắt mà đẹp quá
tao cay mẹ khoé mắt,Sadness,tao cay mẹ khoé mắt
thấy mệt thêm chứ chẳng khỏe gì cả .,Disgust,thấy mệt thêm chứ chẳng khỏe gì cả
":)) đang ăn mỳ , không có trứng nhạt lắm , có rụnng thì xin vài quả !",Enjoyment,icon_vui đang ăn mỳ không có trứng nhạt lắm có rụnng thì xin vài quả
"cảm ơn nói chuyện nhật ! 1 nền khoa học , giáo dục , trí tuệ văn minh !! 😘",Enjoyment,cảm_ơn nói_chuyện nhật 1 nền khoa_học giáo_dục trí_tuệ văn_minh icon_vui
tao mệt chúng mày quá,Disgust,tao mệt chúng_mày quá
hahaha lúc trước ca làm có 4 chị em vui biết bao :)),Enjoyment,hahaha lúc trước ca làm có 4 chị_em vui biết_bao icon_vui
đụ thế kia thì có khác nào mua cái bánh mà bị đứa bán hàng nó tạt cho gáo nước lạnh đâu 🙄,Disgust,đụ thế kia thì có khác_nào mua cái bánh mà bị đứa bán hàng nó tạt cho gáo nước_lạnh đâu icon_chankhet
các bạn đang bảo con này ah 😂😂😂,Other,các bạn đang bảo con này à icon_vui icon_vui icon_vui
má chủ dễ thương vậy tao cũng muốn xin,Enjoyment,má chủ dễ_thương vậy tao cũng muốn xin
"kinh nghiệm được truyền lại là khi nào nấu xong bỏ tí "" tro "" vào lần sau không phải nấu 😊",Enjoyment,kinh_nghiệm được truyền lại là khi nào nấu xong bỏ tí tro vào lần sau không phải nấu icon_vui
"có những con người luôn phải chịu đắng cay , cta không được chọn gia đình , bạn bè và càng không có quyền lựa chọn cuộc sống này . hãy vui lên với tất cả những gì ta đang có dù là hai bàn tay trắng",Sadness,có những con_người luôn phải chịu đắng_cay cta không được chọn gia_đình bạn_bè và càng không có quyền lựa_chọn cuộc_sống này hãy vui lên với tất_cả những gì ta đang có dù là hai bàn_tay_trắng
địt mẹ không có cái loại nào nó ác man và tàn độc hơn là cái loại người . xem mà điên đéo chịu được,Anger,địt_mẹ không có cái loại nào nó ác man và tàn độc hơn là cái loại người xem mà điên đéo chịu được
nhìn thương quá ... lao động nghiêm túc,Enjoyment,nhìn thương quá lao_động nghiêm_túc
đm thực tế như này còn hay . tiếc là đéo ở gần mình =)),Sadness,chửi_thề thực_tế như này còn hay tiếc là đéo ở gần mình
per mấy trụ kia em không tag được,Other,per mấy trụ kia em không tag được
nhận nhầm con cặc . phải nói là 10 thằng thì 1 thằng nuôi con thằng khác,Anger,nhận nhầm con cặc phải nói là 10 thằng thì 1 thằng nuôi con thằng khác
per ơ ơ ơ đây là đâu vậy,Surprise,per ơ ơ ơ đây là đâu_vậy
gặm gặm cái đéo ý à ... bố gặm luôn mày giờ ...!!!,Anger,gặm gặm cái đéo ý à bố gặm luôn mày giờ
"thằng nào nói câu : thế thì đừng làm nghề này . v nếu không có người làm nghề này thì ks sẽ mở cửa cho chúng mày vô àk , người có ăn học có ý thức sẽ không nói ra câu đó .",Disgust,thằng nào nói câu thế_thì đừng làm nghề này v nếu không có người làm nghề này thì ks sẽ mở_cửa cho chúng_mày vô àk người có_ăn_học có ý_thức sẽ không nói ra câu đó
k phải là trời không cho mày yêu . vì m quá ngulon,Disgust,không phải là trời không cho mày yêu vì mày quá ngulon
"per tặng quà cáp gì tặng hộp nhỏ thôi nha . đi hát hò gì đừng đem thùng quà to như vậy nha , nó biết nó nhổ trụi lông nó ngắt mép chết đó :((",Fear,per tặng quà_cáp gì tặng hộp nhỏ thôi nha đi hát_hò gì đừng đem thùng quà to như_vậy nha nó biết nó nhổ trụi lông nó ngắt mép chết đó icon_buon
hết tiền rồi này,Sadness,hết tiền rồi này
"đẹp , dẽ thương mà",Enjoyment,đẹp dẽ thương mà
tử hình con mẹ nó lũ chó má không có tính người đi . khổ thân lũ trẻ,Anger,tử_hình con_mẹ nó lũ chó_má không có tính người đi khổ_thân lũ trẻ
phim xem hay ... nhẹ nhàng tình cảm ... và cười vkl,Enjoyment,phim xem hay nhẹ_nhàng tình_cảm và cười rất
thế làm sao dỗ bạn gái đang giận :(,Sadness,thế làm_sao dỗ bạn gái đang giận icon_buon
t nói thật tao hiền lắm . chứ bà lồn to kia mà gặp tao là ăn mấy cái mũ bảo hiểm vào mặt rồi :),Anger,tao nói thật tao hiền lắm chứ bà lồn to kia mà gặp tao là ăn mấy cái mũ bảo_hiểm vào mặt rồi icon_vui
loài này bé như ngón tay phàm ăn lắm sợ luôn,Fear,loài này bé như ngón tay phàm_ăn lắm sợ luôn
"phí dịch vụ cao nhất , chuyển tiền nội mạng trừ phí tởm nhất , thái độ làm việc bố láo nhất , ít ưu đãi nhất ....",Disgust,phí dịch_vụ cao nhất chuyển tiền nội mạng trừ phí tởm nhất thái_độ làm_việc bố_láo nhất ít ưu_đãi nhất
dume trailer kinh dị cho lắm vô rạp gặp toàn bọn xàm ngồi cười,Disgust,dume trailer kinh_dị cho lắm vô rạp gặp toàn bọn xàm ngồi cười
chẳng đủ dịu dàng để níu bước chân anh,Sadness,chẳng đủ dịu_dàng để níu bước chân anh
1 cái xe cup này ngày xưa bằng mấy cái nhà liền,Other,1 cái xe cup này ngày_xưa bằng mấy cái nhà liền
mỗi phút bên em thật tuyệt vời . chỉ em mới cho anh cái cảm giác đó,Enjoyment,mỗi phút bên em thật tuyệt_vời chỉ em mới cho anh cái cảm_giác đó
em chưa có người yêu . có ai yêu em không . em cô đơn quá,Sadness,em chưa có người_yêu có ai yêu em không em cô_đơn quá
nhỏ nhặt nhưng ý nghĩa và hạnh phúc 😊,Enjoyment,nhỏ_nhặt nhưng ý_nghĩa và hạnh_phúc icon_vui
per =)))))) hít đi cho no chứ mắc công lại chửi tao không biết điều giở trò trước mặt cẩu fa như mày :),Enjoyment,per hít đi cho no chứ mắc công lại chửi tao không biết_điều giở_trò trước mặt cẩu fa như mày icon_vui
bả đòi cái gì vậy ?,Other,bả đòi cái gì vậy
"cái thứ ba , trời nhìn mà rơi nước mắt thay cho luôn công cả một mùa mà đi tong chỉ vì một trận mưa",Sadness,cái thứ ba trời nhìn mà rơi nước_mắt thay cho luôn công cả một mùa mà đi tong chỉ vì một trận mưa
per biết không :))),Surprise,per biết không icon_vui
dù có sống được mấy đời thì cũng nợ mẹ cha trọn cả mấy đời .,Sadness,dù có sống được mấy_đời thì cũng nợ mẹ cha trọn cả mấy_đời
mấy cái tin này thường làm tan nát tình cảm gia đình trong lúc ăn cơm xem thời sự .. bố tổ sư,Disgust,mấy cái tin này thường làm tan_nát tình_cảm gia_đình trong lúc ăn cơm xem thời_sự bố tổ_sư
cô tiên béo quá .. 😅😅 giọng còn the thé nữa .. 😅😅,Disgust,cô tiên béo quá icon_vui icon_vui giọng còn the_thé nữa icon_vui icon_vui
lên án nhiều rồi mà vẫn thế .,Disgust,lên_án nhiều rồi mà vẫn thế
thằng này ngu vãi,Disgust,thằng này ngu vãi
cây tre có tận trăm đốt luôn hả ???,Surprise,cây tre có tận trăm đốt luôn hả
nói tiếng tuy hoà phú yên làm tao nhớ đến nyc . giọng nó sao ngọt không thể tả . buồn,Sadness,nói tiếng tuy hoà phú yên làm tao nhớ đến nyc giọng nó sao ngọt không_thể tả buồn
"per mợ mệt , trưa nào cũng nhìn mày nhai chóp chép ..",Disgust,per mợ mệt trưa nào cũng nhìn mày nhai chóp_chép
"đừng nên thích mấy ông anh cơ bắp , sợ lắm 😆",Fear,đừng nên thích mấy ông anh cơ_bắp sợ lắm icon_vui
có ai vừa coi mà thấy phê phê cái lỗ tai giống tôi không ?? 😀,Enjoyment,có ai vừa coi mà thấy phê phê cái lỗ tai giống tôi không icon_vui
tao đéo hiểu sao người yêu tao đi cắt tóc về trông mặt ngáo đến kì lạ 🤣🤣🤣,Disgust,tao đéo hiểu sao người_yêu tao đi cắt tóc về trông mặt ngáo đến kì_lạ icon_vui icon_vui icon_vui
và khi quay lại nói chuyện với nhau .... biết nói gì giờ huhu,Sadness,và khi quay lại nói_chuyện với nhau biết nói gì giờ huhu
thằng cha bảo vệ có tâm quá . nge con nhỏ kêu nguyên đêm zi mà đéo cứu,Disgust,thằng_cha bảo_vệ có tâm quá nge con nhỏ kêu nguyên đêm zi mà đéo cứu
cũng mất công đẻ mà sao mẹ chúng nó đẻ ra lũ ngu thế haiz,Disgust,cũng mất_công đẻ mà sao mẹ chúng_nó đẻ ra lũ ngu thế haiz
tao thấy giống khùng với lại vô duyên chứ hay gì,Disgust,tao thấy giống khùng với lại vô_duyên chứ hay gì
cần gì những thứ xa hoa lộng lẫy đâu . dù chỉ 1 bông hoa nhưng đong đầy yêu thương nhắn tin đã cảm thấy đủ hạnh phúc rồi 😊😊😊,Enjoyment,cần gì những thứ xa_hoa lộng_lẫy đâu dù chỉ 1 bông hoa nhưng đong đầy yêu_thương nhắn_tin đã cảm_thấy đủ hạnh_phúc rồi icon_vui icon_vui icon_vui
t gặp ngỗng chạy bỏ dép,Fear,tao gặp ngỗng chạy bỏ dép
"vừa ngu vừa ngông thì thế , làm trễ tàu của người ta",Disgust,vừa ngu vừa ngông thì thế làm trễ tàu của người_ta
sao nó trèo lên được hay vậy @@,Surprise,sao nó trèo lên được hay vậy
"khuôn mặt ngây thơ vô số tội , trái tim nhỏ bé của tao sao chịu được ❤❤❤",Enjoyment,khuôn_mặt ngây_thơ vô_số tội trái_tim nhỏ_bé của tao sao chịu được
cuộc sống mà đành chịu thôi =(((,Sadness,cuộc_sống mà đành chịu thôi
"cấp 3 , đáng tiếc nhất trong thời học sinh ^^",Sadness,cấp 3 đáng tiếc nhất trong thời học_sinh icon_vui
"per mình đang nói phần lớn thôi , chứ tất nhiên cũng có ngoại lệ mà",Other,per mình đang nói phần_lớn thôi chứ tất_nhiên cũng có ngoại_lệ mà
"thích chị này nhất phim í , bé bé xinh xinh lại diễn rất đạt :3 . hy vọng mai sau sẽ có bước tiến lớn và thành công hơn nữa < 3",Enjoyment,thích chị này nhất phim í bé bé xinh_xinh lại diễn rất đạt 3 hy_vọng mai_sau sẽ có bước_tiến lớn và thành_công hơn nữa 3
dạo này xem video của per chán ấy không như xưa tại giờ toàn quảng cáo ấy ( ý kiến cá nhân ) 😔,Disgust,dạo này xem video của per chán ấy không như xưa tại giờ toàn quảng_cáo ấy ý_kiến cá_nhân icon_buon
t thấy chả có gì thú vị .,Other,tao thấy chả có gì thú_vị
vậy mà củng chẳng hút được khách !,Surprise,vậy_mà củng chẳng hút được khách
khi nào lên chùa ba vàng giải được vong thì kết hôn :)),Enjoyment,khi nào lên chùa ba vàng giải được vong thì kết_hôn icon_vui
thuở thiếu thời ai chẳn có phút bốc đồng . nên cho nó một trận để răng đe .. 🤣,Disgust,thuở thiếu_thời ai chẳn có phút bốc_đồng nên cho nó một trận để răng đe icon_vui
chắc phải 6 năm chưa nấu kiểu này rồi trước nấu hôm đầu cơm dẻo ai cũng khen ngon,Enjoyment,chắc phải 6 năm chưa nấu kiểu này rồi trước nấu hôm đầu cơm dẻo ai cũng khen ngon
cận cảnh cái bụng nước lèo của boss =))) xài hao vãi,Disgust,cận_cảnh cái bụng nước_lèo của boss xài hao vãi
bản chất tham lam của con người thể hiện ngay từ những việc nhỏ ..,Other,bản_chất tham_lam của con_người thể_hiện ngay từ những việc nhỏ
em đi bộ chết mẹ đây này,Sadness,em đi bộ chết mẹ đây này
"thật tốt vì chú chó ấy đã tìm được người yêu thương nó , kiên trì để nó tin tưởng thật sự :"">",Enjoyment,thật tốt vì chú chó ấy đã tìm được người yêu_thương nó kiên_trì để nó tin_tưởng thật_sự
"phim này xem nam chính thôi . nữ chính diễn chán vãi lúa lắm lúc tụt hứng lắm . giận không ra giận , vui không ra vui .",Disgust,phim này xem nam chính thôi nữ chính diễn chán vãi lúa lắm lúc tụt hứng lắm giận không ra giận vui không ra vui
nhìn mặt nó khó ưa thật chứ,Disgust,nhìn mặt nó khó ưa thật chứ
lần sau thì mình sẽ như thế để đỡ phải cãi nhau nhiều ah :-),Other,lần sau thì mình sẽ như thế để đỡ phải cãi nhau nhiều à
giờ lên phường người ta có phát chú rể không nhỉ các bạn ?,Other,giờ lên phường người_ta có phát chú_rể không nhỉ các bạn
một cái ngu thật sứng đáng,Disgust,một cái ngu thật sứng đáng
năm nay tao không còn cảm thấy cô đơn và mỏi chân nữa ... vì tao được ngồi mát và ăn ké socola of bọn có người yêu 😁😂...# mun 😘,Enjoyment,năm nay tao không còn cảm_thấy cô_đơn và mỏi chân nữa vì tao được ngồi mát và ăn ké socola of bọn có người_yêu icon_vui icon_vui mun icon_vui
hãy dùng một đời để minh chứng nhé !💕😍,Other,hãy dùng một đời để minh chứng nhé icon_vui
con mụ đen sai còn già mồm ...,Disgust,con mụ đen sai còn già_mồm
chỉ cần yên bình như thế này thôi . ❤️❤️❤️,Enjoyment,chỉ cần yên bình như thế này thôi
năm nay được nhận hoa và được ngồi nhìn người ta hạnh phúc,Sadness,năm nay được nhận hoa và được ngồi nhìn người_ta hạnh_phúc
chỉ sợ lúc nó dí,Fear,chỉ sợ lúc nó dí
hên là chay ra kip,Enjoyment,hên là chay ra kip
immm,Anger,im
tao cũng có 1 người bà như trong video nhưng bà ấy qua đời rồi 🙁🙁🙁,Sadness,tao cũng có 1 người bà như trong video nhưng bà ấy qua_đời rồi
đa ́ người yêuc quá ́,Enjoyment,đa ́ người yêuc quá ́
"5tr là tiền bà yến cúng vong cho công an phường quang trung để giải oan gia trái chủ của bà tiền kiếp thôi , chứ phạt g đâu , xếp lớn của bà và xếp lớn của công an phường là 1 , ai lại đi đá gà nhà ...",Disgust,5tr là tiền bà yến cúng vong cho công_an phường quang trung để giải_oan_gia trái chủ của bà tiền_kiếp thôi chứ phạt g đâu xếp lớn của bà và xếp lớn của công_an phường là 1 ai lại đi đá gà nhà
kinh dị v,Fear,kinh_dị v
thật may em đã gặp được người tài xế tốt 🌸🌸,Enjoyment,thật may em đã gặp được người tài_xế tốt
bắn không trượt phát nào luôn à,Surprise,bắn không trượt phát nào luôn à
tại sao mày nằm viện mà vẫn xinh thế ??,Surprise,tại_sao mày nằm viện mà vẫn xinh thế
đẹp trai mà bị đá à,Surprise,đẹp_trai mà bị đá à
cho con được thay ông bán vé đi 😔,Sadness,cho con được thay ông bán vé đi icon_buon
lớp xuất hiện thứ âm binh,Disgust,lớp xuất_hiện thứ âm_binh
đọc bình luận cười ẻ,Enjoyment,đọc bình_luận cười ẻ
per cách này coi bộ hay nha 😂,Enjoyment,per cách này coi_bộ hay nha_icon_vui
"mặt đúng kiểu , em hiểu cảm giác phê của anh không kkk",Enjoyment,mặt đúng kiểu em hiểu cảm_giác phê của anh không k
per thanh niên suốt ngày hát karaoke max volum,Disgust,per thanh_niên suốt ngày hát karaoke max volum
lỡ câu chuyện là thật thì sao . chưa gì lên chửi người ta là rẻ rách,Disgust,lỡ câu_chuyện là thật thì sao chưa gì lên chửi người_ta là rẻ rách
