Sentence,Emotion,Cleaned_Sentence,Predicted_Emotion,Is_Correct
trời đụ thằng con trời đánh,Anger,trời đụ thằng con trời_đánh,Disgust,False
chắc chắn bố của bạn này là một người vui tính chứ không phải khó tính . khiếu khôi hài bạn ấy ảnh hưởng từ bố .,Enjoyment,chắc_chắn bố của bạn này là một người vui_tính chứ không phải khó_tính khiếu khôi_hài bạn ấy ảnh_hưởng từ bố,Other,False
chất lượng âm thanh bản này hình như nghe hay hơn bản gốc hồi mấy năm trước nhiều < 3,Enjoyment,chất_lượng âm_thanh bản này hình_như nghe hay hơn bản_gốc hồi mấy năm trước nhiều 3,Other,False
"mình chưa từng thấy phim nào ý nghĩa như phim này cả , nó dạy cho ta về nhiều mặt trong cuộc sống , khi vui , khi buồn",Enjoyment,mình chưa từng thấy phim nào ý_nghĩa như phim này cả nó dạy cho ta về nhiều mặt trong cuộc_sống khi vui khi buồn,Sadness,False
nhìn thôi cũng đau lòng :)),Sadness,nhìn thôi cũng đau_lòng icon_vui,Enjoyment,False
sao có dầu ăn ở đây nhỉ ?,Surprise,sao có dầu ăn_ở đây nhỉ,Other,False
"dưới nước không nhìn được , kiểu gì chả có đứa sờ mông sờ .... dcm súc vật :)",Anger,dưới nước không nhìn được kiểu gì chả có đứa sờ mông sờ chửi_thề súc_vật icon_vui,Disgust,False
tao cũng thế mà ba tao vứt hết mẹ rồi,Other,tao cũng thế_mà ba tao vứt hết mẹ rồi,Sadness,False
"mình trả hùa , mình vẫn đỗ nhắn tin",Enjoyment,mình trả hùa mình vẫn đỗ nhắn_tin,Other,False
tôi cũng muốn được cảm thấy như vậy ??,Sadness,tôi cũng muốn được cảm_thấy như_vậy,Enjoyment,False
khi nào vụ này kết thúc thì mình uống cf trung nguyên trở lại . sợ làm giàu cho cô per lắm .,Disgust,khi nào vụ này kết_thúc thì mình uống cf trung_nguyên trở_lại sợ làm_giàu cho cô per lắm,Other,False
t chắc bỏ nhà ra đi khi ở với bố mẹ kiểu này quá . vẫn may bố mẹ tao không hề giống này tí nào,Enjoyment,tao chắc bỏ nhà ra đi khi ở với bố_mẹ kiểu này quá vẫn may bố_mẹ tao không hề giống này tí nào,Fear,False
đứa con gái nào mà đề nghị là biết bị ma nhập mà né nha mấy cha,Fear,đứa con_gái nào mà đề_nghị là biết bị ma_nhập mà né nha mấy cha,Disgust,False
per mấy con đĩ lồn cục súc ... dòng thứ quỷ yêu đel làm gì cũng rượt cho sấp mặt luôn,Anger,per mấy con đĩ lồn cục_súc dòng thứ quỷ yêu đel làm gì cũng rượt cho sấp_mặt luôn,Disgust,False
hình như bồ tao cũng tập gym 😶😶,Other,hình_như bồ tao cũng tập gym,Sadness,False
"bắt cóc như chơi đó mậy , be careful",Fear,bắt_cóc như_chơi đó mậy be careful,Other,False
đảng ta bao dung thật < 3,Enjoyment,đảng ta bao_dung thật 3,Other,False
đái mẹ ra quần ??,Fear,đái mẹ ra quần,Anger,False
có ai không nghe thấy nói gì mà toàn xem hình người con gái ấy không 😂,Other,có ai không nghe thấy nói gì mà toàn xem hình người con_gái ấy không icon_vui,Disgust,False
làm việc vất vả mới được miếng ăn mà chúng nó khốn nạn thật,Anger,làm_việc vất_vả mới được miếng ăn mà chúng_nó khốn_nạn thật,Disgust,False
dể thương quá ah,Enjoyment,dể thương quá à,Sadness,False
tốt nhất không miễn phí cho những thể loại người như vậy . nhắc nhỉ thẳng thắn,Anger,tốt nhất không miễn_phí cho những thể_loại người như_vậy nhắc nhỉ thẳng_thắn,Disgust,False
gần thôi :))) giờ nhìn lại đề thi và không hiểu sao mình ra trường được :))),Enjoyment,gần thôi icon_vui giờ nhìn lại đề thi và không hiểu sao mình ra trường được icon_vui,Other,False
hồi xưa làm fanpage được gạ kèo 7 triệu nhưng nhất quyết không bán . cảm thấy quyết định đúng đắn nhất trong đời,Enjoyment,hồi xưa làm fanpage được gạ kèo 7 triệu nhưng nhất_quyết không bán cảm_thấy quyết_định đúng_đắn nhất trong đời,Sadness,False
"ngày trước thì đòi dấn thân vào showbiz , giờ lại đòi lấy chồng đại gia , đâu ra lắm thế",Disgust,ngày trước thì đòi dấn_thân vào showbiz giờ lại đòi lấy chồng đại_gia đâu ra lắm thế,Sadness,False
"đần mặt ra nhìn nó y như con ngu , còn cười theo nó nữa , xong bị nó phát hiện .",Enjoyment,đần mặt ra nhìn nó y_như con ngu còn cười theo nó nữa xong bị nó phát_hiện,Disgust,False
hãm lồn là khi mình đéo ra gì còn đi nói người khác 🤭,Disgust,hãm lồn là khi mình đéo ra gì còn đi nói người khác,Anger,False
chia se cho ai thích thể hiện nè,Other,chia se cho ai thích thể_hiện nè,Enjoyment,False
"diễn còn cứng quá à , kiểu biết rồi mà còn giả bộ bất ngờ :))",Enjoyment,diễn còn cứng quá à kiểu biết rồi mà còn giả_bộ bất_ngờ icon_vui,Disgust,False
làm người khác thỏa mãn bằng mùi hương của chính bản thân,Enjoyment,làm người khác thỏa_mãn bằng mùi hương của chính bản_thân,Disgust,False
per một lần thôi không có lần thứ hai đâu 😊,Enjoyment,per một lần thôi không có lần thứ hai đâu icon_vui,Other,False
con đường này chắc dành cho mấy người như tôi,Enjoyment,con đường này chắc dành cho mấy người như tôi,Disgust,False
đã bị đuổi 1 lần . đéo lgi cũng bị dí,Anger,đã bị đuổi 1 lần đéo lgi cũng bị dí,Sadness,False
lựa chọn cách thức tuyển như thế nào thì tốt quá rồi,Enjoyment,lựa_chọn cách_thức tuyển như thế_nào thì tốt quá rồi,Other,False
lùi về sau 3 bước đi . ngứa cả con mắt,Anger,lùi về sau 3 bước_đi ngứa cả con mắt,Other,False
"nhìn mặt ổng nhẫn nhìn kìa :)) tao chờ sen tao ra thôi , lúc đó tao tung hê hết 😑",Other,nhìn mặt ổng nhẫn nhìn kìa icon_vui tao chờ sen tao ra thôi lúc đó tao tung_hê hết,Enjoyment,False
ko có biển cấm dừng đỗ nhưng đỗ thò đầu ở ngã 3 kia là rất bố láo .,Anger,không có biển cấm dừng đỗ nhưng đỗ thò đầu ở ngã 3 kia là rất bố_láo,Other,False
khi mày tắt điện thoại một buổi sáng và tao nhảy tưng tưng lên :),Other,khi mày tắt điện_thoại một buổi sáng và tao nhảy tưng_tưng lên icon_vui,Enjoyment,False
vèo cái đã 7 năm 😕,Sadness,vèo cái đã 7 năm,Enjoyment,False
đúng là tốt quá lai thành lạm dụng 😶,Sadness,đúng là tốt quá lai thành lạm_dụng,Enjoyment,False
"t cũng thế . đang ngồi chơi với con , vợ nó đắp mặt nạ lù lù bước vào . xém đái trog quần ??????",Fear,tao cũng thế đang ngồi chơi với con vợ nó đắp mặt_nạ lù_lù bước vào xém đái trog quần,Other,False
liên quan gì tới mày . mời đám cưới chắc gì mày đã đi . hỏi hỏi con cặc,Disgust,liên_quan gì tới mày mời đám_cưới chắc gì mày đã đi hỏi hỏi con cặc,Anger,False
per về nhà mà thể hiện,Disgust,per về nhà mà thể_hiện,Enjoyment,False
cái miệng nói chuyện không có người phụ nữ nào có trời ơi thật là có duyên khiếp quá đi thôi,Enjoyment,cái miệng nói_chuyện không có người phụ_nữ nào có trời ơi thật là có duyên khiếp quá đi thôi,Disgust,False
đi đâu cũng gặp mấy cái thứ,Anger,đi đâu cũng gặp mấy cái thứ,Disgust,False
"mức thu cao nhất - đồng ý vì số liệu nó thể hiện như vậy , chứ còn hiệu quả thì mình không biết đúng không 😂 mỗi lần vô vcb là hiểu phải đợi mỏi mòn , không như những nh khác",Sadness,mức thu cao nhất đồng_ý vì số_liệu nó thể_hiện như_vậy chứ còn hiệu_quả thì mình không biết đúng không icon_vui mỗi lần vô vcb là hiểu phải đợi mỏi_mòn không như những nh khác,Enjoyment,False
con gái tao thì suốt ngày hêy siri bắt chước mẹ 😂,Enjoyment,con_gái tao thì suốt ngày hêy siri bắt_chước mẹ icon_vui,Sadness,False
khâm phục !!! quá khâm phục !!!,Enjoyment,khâm_phục quá khâm_phục,Disgust,False
mau khoẻ nhé :d,Enjoyment,mau khoẻ nhé d,Other,False
tao học nhân sự đây còn đang lo thất nghiệp đây này,Fear,tao học nhân_sự đây còn đang lo thất_nghiệp đây này,Sadness,False
cắt cả thắt lưng da của bố để làm ná 😂😂,Enjoyment,cắt cả thắt_lưng da của bố để làm ná icon_vui icon_vui,Disgust,False
per vẫn là con mẻ . nay hàng họ to quá ;)))),Surprise,per vẫn là con mẻ nay hàng_họ to quá,Enjoyment,False
tinh trùng đâu lắm thế,Surprise,tinh_trùng đâu lắm thế,Other,False
"per giỏi phết đấy mỗi tội nghịch thôi , được cái làm từ thiện nhiều .",Enjoyment,per giỏi phết đấy mỗi tội nghịch thôi được cái làm từ_thiện nhiều,Other,False
câu hỏi thú vị 😃😃😃,Enjoyment,câu hỏi thú_vị,Other,False
"cô ấy rất tốt , nhưng tôi biết thứ nào tốt đều không dành cho mình",Sadness,cô ấy rất tốt nhưng tôi biết thứ nào tốt đều không dành cho mình,Enjoyment,False
đm xem mãi quay lưng đi chửa được bước lại dừng :)),Disgust,chửi_thề xem mãi quay lưng đi chửa được bước lại dừng icon_vui,Enjoyment,False
không gì hơn ngoài tình thân,Other,không gì hơn ngoài tình thân,Disgust,False
thật ra nhiều lúc bị bố mẹ chửi không hiểu vì lí do gì và những câu chửi ấy có những từ không chấp nhận nổi,Disgust,thật_ra nhiều lúc bị bố_mẹ chửi không hiểu vì lí_do gì và những câu chửi ấy có những từ không chấp_nhận nổi,Sadness,False
"wtf , tao đã làm gì sai ☹️☹️☹️",Sadness,wtf tao đã làm gì sai,Anger,False
lúc nó điên lên nó chã triệu hồi cả nhà mày ra ấy chứ nhổn,Other,lúc nó điên lên nó chã triệu_hồi cả nhà mày ra ấy chứ nhổn,Disgust,False
mất niềm tin vào đàn ông chứ chưa từng mất niềm tin vào tình yêu ;,Other,mất niềm tin vào đàn_ông chứ chưa từng mất niềm tin vào tình_yêu,Disgust,False
"bọn có tí quan hệ hay thích khoe , ngay chị gì quận phó quận x còn gọi cả công an , chủ tịch phường ra để dằn mặt dân ??",Anger,bọn có tí quan_hệ hay thích khoe ngay chị gì quận phó quận x còn gọi cả công_an chủ_tịch phường ra để dằn_mặt dân,Disgust,False
đám người lớn văn hóa lùn đẻ ra một đám trẻ vô học . bọn mất dạy này là nhà dột từ nóc ấy mà . nên đuổi học cho lũ ngu học ấy về để nhà tiếp nối sự vô học của gia đình chúng nó,Anger,đám người_lớn văn_hóa_lùn đẻ ra một đám trẻ vô_học bọn mất_dạy này là nhà dột từ nóc ấy mà nên đuổi học cho lũ ngu học ấy về để nhà tiếp nối sự vô_học của gia_đình chúng_nó,Disgust,False
nhiệt tình + ngu dốt là phải trả giá bằng tiền mặt 😂😂,Enjoyment,nhiệt_tình ngu_dốt là phải trả_giá bằng tiền_mặt icon_vui icon_vui,Other,False
valentine là lễ tình yêu không phải ngày động dục . hãy vì một valentine lành mạnh đi các bạn trẻ 🙃🙃,Disgust,valentine là lễ tình_yêu không phải ngày động_dục hãy vì một valentine lành_mạnh đi các bạn trẻ,Enjoyment,False
có tí rượu vào nhìn đâu cũng thấy mồi nhìn gì cũng ăn được,Other,có tí rượu vào nhìn đâu cũng thấy mồi nhìn gì cũng ăn được,Disgust,False
"có mà bữa chạy ngược chiều trên qlo 1a tại có hẻm nhỏ để quẹo tắt , chưa kịp quẹo bị 6 anh csgt + 1 xe bắt xe tấp vô chặn đầu xe , hoảng hồn cmnl .",Fear,có mà bữa chạy ngược chiều trên qlo 1a tại có hẻm nhỏ để quẹo tắt chưa kịp quẹo bị 6 anh csgt 1 xe bắt xe tấp vô chặn đầu xe hoảng_hồn cmnl,Other,False
tốt nhất là cần công khai minh bạch là tốt hơn,Other,tốt nhất là cần công_khai minh_bạch là tốt hơn,Enjoyment,False
chắc mình là thánh nguy hiểm,Enjoyment,chắc mình là thánh nguy_hiểm,Fear,False
mong bé sớm được mua lại,Sadness,mong bé sớm được mua lại,Enjoyment,False
má đớp chanh hùi hụi thế kia mà mặt không nhăn à,Surprise,má đớp chanh hùi_hụi thế kia mà mặt không nhăn à,Disgust,False
thanh niên trả thù đời bằng cách này hả ?,Surprise,thanh_niên trả_thù đời bằng cách này hả,Disgust,False
bán hàng onl riết bán luôn não rồi 😂😂,Disgust,bán hàng onl riết bán luôn não rồi icon_vui icon_vui,Enjoyment,False
per nhớ cái bếp huyền thoại của 2 đứa mình he,Enjoyment,per nhớ cái bếp huyền_thoại của 2 đứa mình he,Other,False
nam chính đẹp . nữ chính hơi già . nếu nữ chính là 1 diển viên dể thương thì xem hay hơn nhiều,Disgust,nam chính đẹp nữ chính hơi già nếu nữ chính là 1 diển viên dể thương thì xem hay hơn nhiều,Enjoyment,False
chuyển cảnh nhanh quá làm tao theo không kịp luôn á,Surprise,chuyển cảnh nhanh quá làm tao theo không kịp luôn á,Enjoyment,False
thật ý nghĩa và hạnh phục cho 2 người họ . nhưng đâu đó trong tao vẫn thấy cái gì đó nó tởm lợn vê lờ 🤔🤔🤔,Disgust,thật ý_nghĩa và hạnh phục cho 2 người họ nhưng đâu_đó trong tao vẫn thấy cái gì đó nó tởm lợn vê lờ,Enjoyment,False
ai cũng kiếm ăn thui ... hy vong qua video nay mọi ngươi sống có ý thức hơn ... đưng xem đồng tiền của minh to quá,Disgust,ai cũng kiếm_ăn thui hy vong qua video nay mọi ngươi sống có ý_thức hơn đưng xem đồng_tiền của minh to quá,Enjoyment,False
"t đề nghị tụi mày trả cái đĩa bay cho con bé đi nghe , tới ca mà vào điều tra thì tụi mày mệt :))",Other,tao đề_nghị tụi mày trả cái đĩa_bay cho con bé đi nghe tới ca mà vào điều_tra thì tụi mày mệt icon_vui,Disgust,False
từ lúc có vợ nhiều váy mặc để quay video hẳn :)))))),Enjoyment,từ lúc có vợ nhiều váy mặc để quay video hẳn icon_vui,Other,False
ừ nhìn rợn thật =]]]],Disgust,ừ nhìn rợn thật,Enjoyment,False
phát hiện mới !!!,Surprise,phát_hiện mới,Enjoyment,False
"ai cũng chỉ muốn cho con tất cả nhưng vì được không có mà thôi , có con thì mới biết lòng cha mẹ",Sadness,ai cũng chỉ muốn cho con tất_cả nhưng vì được không có mà thôi có con thì mới biết lòng cha_mẹ,Disgust,False
moẹ ! nghe cái tên đã hấp con mẹ nó dẫn lắm rồi đây này ! đjln ??????,Enjoyment,moẹ nghe cái tên đã hấp con_mẹ nó dẫn lắm rồi_đây này đjln,Anger,False
nói câu trước đá câu sau vẫn là sai bét đúng không cả nhà,Disgust,nói câu trước đá câu sau vẫn là sai bét đúng không cả nhà,Other,False
nói xong còn chả dám ăn nữa 😂😂,Fear,nói xong còn chả dám ăn nữa icon_vui icon_vui,Enjoyment,False
t thấy tội nghiệp thằng cải,Enjoyment,tao thấy tội_nghiệp thằng cải,Disgust,False
anh yêu đứa bướng lắm vì mỗi lần em bướng là anh treo em lên sàn nhà đập mát tay,Other,anh yêu đứa bướng lắm vì mỗi lần em bướng là anh treo em lên sàn nhà đập mát_tay,Enjoyment,False
còn nhiều người có cuộc sống khốn khổ hơn ta :),Sadness,còn nhiều người có cuộc_sống khốn_khổ hơn ta icon_vui,Other,False
:v crush có người yêu rồi,Sadness,v crush có người_yêu rồi,Enjoyment,False
nghĩ lại ngày xưa cũng như 2 đứa nhỏ ??,Other,nghĩ_lại ngày_xưa cũng như 2 đứa nhỏ,Enjoyment,False
hôm nay quên vào đọc bình luận trước !! tính xem con nhện nước bạn khác nhện nước mình như thế nào ! ai ngờ đâu khác xa quá !! d mày mày adm ơi làm hết hồn !!,Anger,hôm_nay quên vào đọc bình_luận trước tính xem con nhện nước bạn khác nhện nước mình như thế_nào ai ngờ_đâu khác xa quá d mày mày adm ơi làm hết_hồn,Other,False
cái câu liếm củi chỏ sao sai được nhỉ,Other,cái câu liếm củi chỏ sao sai được nhỉ,Surprise,False
chỉ cần nghĩ tới cảnh đó là máu kinh sôi trào như núi lửa 😂😂😂,Anger,chỉ cần nghĩ tới cảnh đó là máu kinh sôi trào như núi_lửa icon_vui icon_vui icon_vui,Enjoyment,False
đôi khi thích nói chuyện chỉ vì nói chuyện hợp và vì thích nói chuyện chứ thật ra chả phải yêu đương hay thích kiểu trai gái gì,Other,đôi_khi thích nói_chuyện chỉ vì nói_chuyện hợp và vì thích nói_chuyện chứ thật_ra chả phải yêu_đương hay thích kiểu trai_gái gì,Enjoyment,False
hút ít thôi và hãy chích nhiều hơn 😐,Disgust,hút ít thôi và hãy chích nhiều hơn,Enjoyment,False
"em cũng như con chó thôi , nếu anh đủ kiên nhẫn thì mọi chuyện đã khác rồi 😪",Sadness,em cũng như con chó thôi nếu anh đủ kiên_nhẫn thì mọi chuyện đã khác rồi,Disgust,False
per khi trong người khó ở thì nên vào đây . động lực để nôn,Disgust,per khi trong người khó_ở thì nên vào đây động_lực để nôn,Other,False
ê tao đi nhật chưa được 1 năm mà xem video này làm tao loạn ngôn ngữ ghê . thỉnh thoảng phải dừng video ngẫm câu nó nói nghĩa gì,Fear,ê tao đi nhật chưa được 1 năm mà xem video này làm tao_loạn_ngôn_ngữ ghê thỉnh_thoảng phải dừng video ngẫm câu nó nói nghĩa gì,Disgust,False
vậy vài bửa trời nắng mình không mang quần nằm dưới nắng cho nó nở ra :)),Other,vậy vài bửa trời nắng mình không mang quần nằm dưới nắng cho nó nở ra icon_vui,Enjoyment,False
cả thế giới thấy hay trừ tao,Other,cả thế_giới thấy hay trừ tao,Sadness,False
nhanh vãi mới thấy xong,Other,nhanh vãi mới thấy xong,Enjoyment,False
tuy chưa viết hết nhưng tao người khác sẽ hiểu là viết cái gì,Enjoyment,tuy chưa viết hết nhưng tao người khác sẽ hiểu là viết cái gì,Other,False
làm ở đâu cũng vậy cũng có đầy rẫy những khó khăn nhưng trọng hơn là làm cùng những đồng nghiệp như thế nào,Other,làm ở đâu cũng vậy cũng có đầy_rẫy những khó_khăn nhưng trọng hơn là làm cùng những đồng_nghiệp như thế_nào,Sadness,False
"phàm việc quan trọng trong thiên hạ , cứ về hỏi vợ , vợ nói sao cứ làm ngược lại chắc chắc sẽ đúng !",Enjoyment,phàm việc quan_trọng trong thiên_hạ cứ về hỏi_vợ vợ nói sao cứ làm ngược_lại chắc chắc sẽ đúng,Other,False
cái toilet hay nhỉ vào đấy được thoải mái nhìn nhau mà trò chuyện trong lúc ị ... :),Surprise,cái toilet hay nhỉ vào đấy được thoải_mái nhìn nhau mà trò_chuyện trong lúc ị icon_vui,Enjoyment,False
cay và đắng nghe mấy ông lớn tuổi toàn kêu thế thôi,Enjoyment,cay và đắng nghe mấy ông lớn_tuổi toàn kêu thế thôi,Other,False
xuất sắc quá,Surprise,xuất_sắc quá,Disgust,False
nhà tao vẫn nấu . à mà lâu lâu tao về nấu một lần thì không cháy cũng nát,Sadness,nhà tao vẫn nấu à mà lâu_lâu tao về nấu một lần thì không cháy cũng nát,Enjoyment,False
thiết kế đẹp quá,Surprise,thiết_kế đẹp quá,Enjoyment,False
per không nhận dạng được mặt bả luôn,Surprise,per không nhận_dạng được mặt bả luôn,Other,False
18t đủ trách nhiệm pháp lý rồi 😏,Other,18t đủ trách_nhiệm pháp_lý rồi,Disgust,False
vô học !😡😡😡. tý tuổi tưởng vậy là hay !,Disgust,vô_học icon_tucgian icon_tucgian icon_tucgian tý tuổi tưởng vậy là hay,Enjoyment,False
"bố mẹ thì còng lưng nuôi ăn học vất vả không mua được thì thôi , bất hạnh cái gì , bất hạnh cái gì",Anger,bố_mẹ thì còng lưng nuôi ăn_học vất_vả không mua được thì thôi bất_hạnh cái gì bất_hạnh cái gì,Other,False
"đúg là dân miền tây , chưa nói đã chửi tục rồi . vậy mà cũg đăg lên được . ở gần phòng mấy người này , đầu mình không yên được .",Disgust,đúg là dân miền tây chưa nói đã chửi tục rồi vậy_mà cũg đăg lên được ở gần phòng mấy người này đầu mình không yên được,Enjoyment,False
nó thả thính xong nó chạy mất ..,Sadness,nó thả thính xong nó chạy mất,Other,False
bị nó chặn đầu mấy lần khóc sướt mướt luôn . mấy con yêu nghiệt này còn dữ hơn chó,Fear,bị nó chặn đầu mấy lần khóc sướt_mướt luôn mấy con yêu nghiệt này còn dữ hơn chó,Disgust,False
chơi cái trò mất dạy :)),Anger,chơi cái_trò mất_dạy icon_vui,Disgust,False
trong luâ ̣ tao co ́ khung hi ̀ nh pha ̣ tao bă ́ n không . ghê tơ ̉ mày con qua ́ i na ̀ y qua ́,Disgust,trong luâ ̣ tao co ́ khung hi ̀ nh pha ̣ tao bă ́ n không ghê tơ ̉ mày con qua ́ i na ̀ y qua ́,Enjoyment,False
tao chỉ lên ngắm cảnh tí xíu mà mày cũng dìm tao :)))),Sadness,tao chỉ lên ngắm cảnh tí_xíu mà mày cũng dìm tao icon_vui,Enjoyment,False
tim vỡ nát,Sadness,tim vỡ nát,Enjoyment,False
đéo thể tin tưởng một ai được,Other,đéo thể tin_tưởng một ai được,Disgust,False
thử đụng vô tao coi dume mấy thằng lol cặn bã,Anger,thử đụng vô tao coi dume mấy thằng lol cặn_bã,Disgust,False
muốn bảo vệ và chăm sóc người đấy,Enjoyment,muốn bảo_vệ và chăm_sóc người đấy,Other,False
hết sức nguy hiểm và có phần dại dột !,Disgust,hết_sức nguy_hiểm và có phần dại_dột,Fear,False
nghe kể mà thèm ạ :'(,Sadness,nghe kể mà thèm ạ,Enjoyment,False
"per vãi xem phải cỡ này . , đoạn nó nhếch môi bố mày sợ suýt đái ra quần dume 😑",Fear,per vãi xem phải cỡ này đoạn nó nhếch môi bố mày sợ suýt đái ra quần dume,Anger,False
nó mà là đặc vụ thật thì lại ngớ người 😂,Other,nó mà là đặc_vụ thật thì lại ngớ người icon_vui,Disgust,False
các chàng trai của tôi về đến nhà chưa ??,Other,các chàng trai của tôi về đến nhà chưa,Sadness,False
liệu có còn tồn tại cô gái nào chấp nhận một thằng vừa nghèo vừa xấu đặc biệt lại còn yếu sinh lý như tôi không,Sadness,liệu có còn tồn_tại cô gái nào chấp_nhận một thằng vừa nghèo vừa xấu đặc_biệt lại còn yếu sinh_lý như tôi không,Disgust,False
per quan tâm per như là 1 đứa em gái thôi . đừng có mà ảo tưởng nha .,Other,per quan_tâm per như là 1 đứa em_gái thôi đừng có mà ảo_tưởng nha,Disgust,False
một con ngựa hoang đúng nghĩa ..... đầy tài năng nhưng đang tiếc là không gặp được hlv và những đồng đội hỉu mình,Enjoyment,một con ngựa hoang đúng nghĩa đầy tài_năng nhưng đang tiếc là không gặp được hlv và những đồng_đội hỉu mình,Sadness,False
nuôi kiểu đéo gì lại để nó như thế này ??? thằg chủ có tâm hồn thối rữa à ??,Anger,nuôi kiểu đéo gì lại để nó như thế này thằg chủ có tâm_hồn thối rữa à,Disgust,False
hút cần xong đúng là đời toàn màu hồng em nhỉ . nói chậm vãi :)))),Disgust,hút cần xong đúng là đời toàn màu hồng em nhỉ nói chậm vãi icon_vui,Enjoyment,False
cục cuối khủng bố vãi vậy :(,Surprise,cục cuối khủng_bố vãi vậy icon_buon,Sadness,False
"mất dạy từ nhỏ , đẹp mặt khi bố mẹ nó đang ngồi xem tivi , cứ tưởng hay",Disgust,mất_dạy từ nhỏ đẹp_mặt khi bố_mẹ nó đang ngồi xem tivi cứ tưởng hay,Enjoyment,False
lỗi tại cái gậy thôi mà 🤣🤣🤣,Other,lỗi tại cái gậy thôi mà icon_vui icon_vui icon_vui,Enjoyment,False
hả hả .. tới giờ ăn hả,Surprise,hả hả tới giờ ăn hả,Other,False
"chưa tỏ tình với ai bao giờ , nhưng tao bức xúc với những người không tôn trọng quyền riêng tư như vậy",Anger,chưa tỏ_tình với ai bao_giờ nhưng tao bức_xúc với những người không tôn_trọng quyền riêng_tư như_vậy,Sadness,False
"con quỷ này dí bao dai ... thù dai hơn cả chó , tuổi thơ đi ngang qua bầy ngỗng là y như rằng đúng con quỷ đó nó dí tao",Anger,con quỷ này dí bao dai thù dai hơn cả chó tuổi_thơ đi ngang qua bầy ngỗng là y_như_rằng đúng con quỷ đó nó dí tao,Fear,False
nhìn là biết đỏ chót rồi,Other,nhìn là biết đỏ_chót rồi,Disgust,False
ăn học bao nhiêu năm rồi mà vẫn ngu,Disgust,ăn_học bao_nhiêu năm rồi mà vẫn ngu,Sadness,False
t nói té 1 cái không dập mề thua gì cũg thua ..,Fear,tao nói té 1 cái không dập mề thua gì cũg thua,Disgust,False
"cái này mà đơn giản ? chị à , là chị nghĩ đơn giản thôi =]]]]",Disgust,cái này mà đơn_giản chị à là chị nghĩ đơn_giản thôi,Enjoyment,False
tao ở thanh hà và nhà tao không quả vải nào hết 😂,Sadness,tao ở thanh hà và nhà tao không quả vải nào hết icon_vui,Enjoyment,False
hãy mang cô ấy sang việt nam ngay,Other,hãy mang cô ấy sang việt_nam ngay,Disgust,False
:)) thật là kì lạ,Surprise,icon_vui thật là kì_lạ,Enjoyment,False
per tụi bây có thấy nó vô lí vlonee hôngg 🙂,Disgust,per tụi bây có thấy nó vô_lí vlonee hôngg icon_vui,Enjoyment,False
đái mẹ ra quần,Fear,đái mẹ ra quần,Anger,False
làm bát phở đã bác ơi,Other,làm bát phở đã bác ơi,Enjoyment,False
"bị ám ảnh hồi bé đi nhổ răng , không dám đi nha sĩ nữa :((( huhu 😭😭",Fear,bị ám_ảnh hồi bé đi nhổ răng không dám đi nha_sĩ nữa icon_buon huhu icon_buon icon_buon,Sadness,False
"dậy tắt đồng hồ báo thức kìa , giờ này còn ngủ được à :v",Other,dậy tắt đồng_hồ báo_thức kìa giờ này còn ngủ được à v,Disgust,False
